smiles,logP,qed,SAS,5*QED-SAS
CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1,5.0506,0.702012233,2.084094572,1.425966593
C[C@@H]1CC(Nc2cncc(-c3nncn3C)c2)C[C@@H](C)C1,3.1137,0.928975488,3.432003819,1.212873621
N#Cc1ccc(-c2ccc(O[C@@H](C(=O)N3CCCC3)c3ccccc3)cc2)cc1,4.96778,0.599681738,2.470632608,0.527776082
CCOC(=O)[C@@H]1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1,4.00022,0.690944353,2.822753311,0.631968454
N#CC1=C(SCC(=O)Nc2cccc(Cl)c2)N=C([O-])[C@H](C#N)C12CCCCC2,3.60956,0.789027155,4.035182138,-0.090046363
CC[NH+](CC)[C@](C)(CC)[C@H](O)c1cscc1Br,2.6374,0.824368801,5.09143755,-0.969593545
COc1ccc(C(=O)N(C)[C@@H](C)C/C(N)=N/O)cc1O,0.9978,0.327296943,2.852316399,-1.215831684
O=C(Nc1nc[nH]n1)c1cccnc1Nc1cccc(F)c1,2.3347,0.687612061,2.627857492,0.810202813
Cc1c(/C=N/c2cc(Br)ccn2)c(O)n2c(nc3ccccc32)c1C#N,4.2813,0.483078614,3.073935311,-0.658542241
C[C@@H]1CN(C(=O)c2cc(Br)cn2C)CC[C@H]1[NH3+],0.8801,0.835024277,3.94793347,0.227187915
CCOc1ccc(OCC)c([C@H]2C(C#N)=C(N)N(c3ccccc3C(F)(F)F)C3=C2C(=O)CCC3)c1,5.80758,0.533054503,3.173202334,-0.507929819
Cc1ccc2nc(S[C@H](C)C(=O)NC3CCC(C)CC3)n(C)c(=O)c2c1,3.41742,0.645397635,2.692305637,0.534682538
O=C(N1CCc2c(F)ccc(F)c2C1)C1(O)Cc2ccccc2C1,2.3794,0.873135846,2.733199772,1.632479458
Cc1ccccc1C(=O)N1CCC2(CC1)C[C@H](c1ccccc1)C(=O)N2C,3.61572,0.797803835,3.350352283,0.638666892
CCCc1cc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)n(C)n1,1.8118,0.787345956,3.077567176,0.859162604
CC(C)Cc1nc(SCC(=O)NC[C@@H]2CCCO2)c2c(=O)n(C)c(=O)n(C)c2n1,0.613,0.52505238,3.112533377,-0.487271477
Cc1ccc(CNC(=O)c2ccccc2NC(=O)[C@@H]2CC(=O)N(c3ccc(C)cc3)C2)cc1,4.22504,0.577048776,2.429037406,0.456206474
